#Area	Non-overlapping_group
ampl109_NRAS_4_UserDefined_(36057175)	grp0
ampl110_NRAS_4_UserDefined_(36057175)	grp0
ampl106_NRAS_3_UserDefined_(33381868)	grp0
ampl107_NRAS_3_UserDefined_(33381868)	grp0
ampl104_NRAS_2_UserDefined_(36057174)	grp0
ampl34_FGFR2_14_UserDefined_(33127371)	grp0
ampl32_FGFR2_12_UserDefined_(36057156)	grp0
ampl36_FGFR2_7_UserDefined_(36057157)	grp0
ampl37_FGFR2_7_UserDefined_(36057157)	grp0
ampl54_HRAS_4_+_HRAS_3_UserDefined_(36057161)	grp0
ampl55_HRAS_4_+_HRAS_3_UserDefined_(36057161)	grp0
ampl56_HRAS_4_+_HRAS_3_UserDefined_(36057161)	grp0
ampl57_HRAS_4_+_HRAS_3_UserDefined_(36057161)	grp0
ampl58_HRAS_4_+_HRAS_3_UserDefined_(36057161)	grp0
ampl48_HRAS_2_UserDefined_(36057160)	grp0
ampl49_HRAS_2_UserDefined_(36057160)	grp0
ampl78_KRAS_4_UserDefined_(35476144)	grp0
ampl79_KRAS_4_UserDefined_(35476144)	grp0
ampl75_KRAS_3_UserDefined_(33446105)	grp0
ampl76_KRAS_3_UserDefined_(33446105)	grp0
ampl73_KRAS_2_UserDefined_(36057166)	grp0
ampl1_AKT1_3_UserDefined_(33127254)	grp0
ampl2_AKT1_3_UserDefined_(33127254)	grp0
ampl81_MAP2K1_2_UserDefined_(36057167)	grp0
ampl82_MAP2K1_2_UserDefined_(36057167)	grp0
ampl24_ERBB2_20_UserDefined_(36057153)	grp0
ampl25_ERBB2_20_UserDefined_(36057153)	grp0
ampl8_ALK_25_UserDefined_(36057148)	grp0
ampl6_ALK_24_UserDefined_(33369996)	grp0
ampl4_ALK_23_UserDefined_(36057147)	grp0
ampl29_ERBB4_12_UserDefined_(36057155)	grp0
ampl30_ERBB4_12_UserDefined_(36057155)	grp0
ampl27_ERBB4_10_UserDefined_(36057154)	grp0
ampl137_PIK3CA.exon.10_UserDefined_(34560791)	grp0
ampl138_PIK3CA.exon.10_UserDefined_(34560791)	grp0
ampl144_PIK3CA.21_UserDefined_(36253438)	grp0
ampl145_PIK3CA.21_UserDefined_(36253438)	grp0
ampl146_PIK3CA.21_UserDefined_(36253438)	grp0
ampl147_PIK3CA.21_UserDefined_(36253438)	grp0
ampl148_PIK3CA.21_UserDefined_(36253438)	grp0
ampl149_PIK3CA.21_UserDefined_(36253438)	grp0
ampl41_FGFR3_7_UserDefined_(36057159)	grp0
ampl42_FGFR3_7_UserDefined_(36057159)	grp0
