#Gene	Reference
AKT1	NM_001014431
ALK	NM_004304
BAT25_MSI	
BAT26_MSI	
BRAF	NM_004333
CDKN2A	NM_000077
CTNNB1	NM_001904
DDR2	NM_006182
EGFR	NM_005228
ERBB2	NM_004448
ERBB4	NM_005235
FGFR1	NM_023110
FGFR2	NM_000141
FGFR3	NM_000142
GNA11	NM_002067
GNAQ	NM_002072
GNAS	NM_000516
H3F3A	NM_002107
H3F3B	NM_005324
HIST1H3B	NM_003537
HRAS	NM_005343
HT17	
IDH1	NM_005896
IDH2	NM_002168
JAK2	NM_004972
KIT	NM_000222
KRAS	NM_033360
MAP2K1	NM_002755
MET	NM_001127500
NR21_MSI	
NR22_MSI	
NR24_MSI	
NR27_MSI	
NRAS	NM_002524
PDGFRA	NM_006206
PIK3Ca	NM_006218
POLE	NM_006231
PTEN	NM_000314
RAC1	NM_018890
SMAD4	NM_005359
STK11	NM_000455
TERT	
