#Area	Non-overlapping_group
ampl73_NRAS.4_UserDefined_(34828222)	grp0
ampl75_NRAS.4_UserDefined_(34828222)	grp0
ampl76_NRAS.3_UserDefined_(36165853)	grp0
ampl78_NRAS.3_UserDefined_(36165853)	grp0
ampl79_NRAS.2_UserDefined_(36165854)	grp0
ampl120_FGFR2.14_UserDefined_(36165855)	grp0
ampl122_FGFR2.12_UserDefined_(36165856)	grp0
ampl124_FGFR2.7_UserDefined_(36165857)	grp0
ampl126_FGFR2.7_UserDefined_(36165857)	grp0
ampl0_HRAS.3.4_UserDefined_(36165858)	grp0
ampl2_HRAS.3.4_UserDefined_(36165858)	grp0
ampl4_HRAS.3.4_UserDefined_(36165858)	grp0
ampl6_HRAS.3.4_UserDefined_(36165858)	grp0
ampl8_HRAS.3.4_UserDefined_(36165858)	grp0
ampl9_HRAS.2_UserDefined_(36165859)	grp0
ampl11_HRAS.2_UserDefined_(36165859)	grp0
ampl21_KRAS.4_UserDefined_(32313383)	grp0
ampl23_KRAS.4_UserDefined_(32313383)	grp0
ampl24_KRAS.3_UserDefined_(32313384)	grp0
ampl26_KRAS.3_UserDefined_(32313384)	grp0
ampl27_KRAS.2_UserDefined_(32313385)	grp0
ampl70_AKT1.3_UserDefined_(36165860)	grp0
ampl72_AKT1.3_UserDefined_(36165860)	grp0
ampl67_MAP2K1.2_UserDefined_(36165861)	grp0
ampl69_MAP2K1.2_UserDefined_(36165861)	grp0
ampl35_ERBB2.20_UserDefined_(36165862)	grp0
ampl37_ERBB2.20_UserDefined_(36165862)	grp0
ampl29_ALK.25_UserDefined_(36165863)	grp0
ampl31_ALK.24_UserDefined_(36165864)	grp0
ampl33_ALK.23_UserDefined_(36165865)	grp0
ampl145_ERBB4.12_UserDefined_(36165866)	grp0
ampl147_ERBB4.12_UserDefined_(36165866)	grp0
ampl148_ERBB4.10_UserDefined_(36165867)	grp0
ampl131_PIK3CA.10_UserDefined_(31979338)	grp0
ampl133_PIK3CA.10_UserDefined_(31979338)	grp0
ampl134_PIK3CA.21_UserDefined_(36342163)	grp0
ampl136_PIK3CA.21_UserDefined_(36342163)	grp0
ampl138_PIK3CA.21_UserDefined_(36342163)	grp0
ampl140_PIK3CA.21_UserDefined_(36342163)	grp0
ampl142_PIK3CA.21_UserDefined_(36342163)	grp0
ampl144_PIK3CA.21_UserDefined_(36342163)	grp0
ampl12_FGFR3.7_UserDefined_(36165870)	grp0
ampl14_FGFR3.7_UserDefined_(36165870)	grp0
ampl15_FGFR3.9_UserDefined_(36165871)	grp0
ampl17_FGFR3.9_UserDefined_(36165871)	grp0
ampl19_FGFR3.14_UserDefined_(36165872)	grp0
ampl38_PDGFRA.12_UserDefined_(36165873)	grp0
ampl40_PDGFRA.14_UserDefined_(36165874)	grp0
ampl42_PDGFRA.18_UserDefined_(36165875)	grp0
ampl54_KIT.8_UserDefined_(36165876)	grp0
ampl56_KIT.9_UserDefined_(33985613)	grp0
ampl58_KIT.9_UserDefined_(33985613)	grp0
ampl59_KIT.11_UserDefined_(33985614)	grp0
ampl61_KIT.13_UserDefined_(33985615)	grp0
ampl63_KIT.17_UserDefined_(33985616)	grp0
ampl65_KIT.18_UserDefined_(36165877)	grp0
ampl44_EGFR.18_UserDefined_(36165878)	grp0
ampl46_EGFR.19_UserDefined_(36165879)	grp0
ampl48_EGFR.20_UserDefined_(36165880)	grp0
ampl50_EGFR.20_UserDefined_(36165880)	grp0
ampl51_EGFR.21_UserDefined_(36165881)	grp0
ampl53_EGFR.21_UserDefined_(36165881)	grp0
ampl81_MET.2_UserDefined_(36165882)	grp0
ampl83_MET.2_UserDefined_(36165882)	grp0
ampl85_MET.2_UserDefined_(36165882)	grp0
ampl87_MET.2_UserDefined_(36165882)	grp0
ampl89_MET.2_UserDefined_(36165882)	grp0
ampl91_MET.2_UserDefined_(36165882)	grp0
ampl93_MET.2_UserDefined_(36165882)	grp0
ampl95_MET.2_UserDefined_(36165882)	grp0
ampl97_MET.2_UserDefined_(36165882)	grp0
ampl99_MET.2_UserDefined_(36165882)	grp0
ampl101_MET.14_UserDefined_(36165883)	grp0
ampl103_MET.14_UserDefined_(36165883)	grp0
ampl104_MET.15_UserDefined_(36165884)	grp0
ampl106_MET.15_UserDefined_(36165884)	grp0
ampl108_MET.16_UserDefined_(36165885)	grp0
ampl110_MET.17_UserDefined_(36165886)	grp0
ampl112_MET.17_UserDefined_(36165886)	grp0
ampl113_MET.18_UserDefined_(36165887)	grp0
ampl115_MET.19_UserDefined_(36165888)	grp0
ampl117_MET.19_UserDefined_(36165888)	grp0
ampl118_MET.20_UserDefined_(36165889)	grp0
ampl127_BRAF.15_UserDefined_(32313528)	grp0
ampl129_BRAF.11_UserDefined_(32313532)	grp0
ampl74_NRAS.4_UserDefined_(34828222)	grp1
ampl77_NRAS.3_UserDefined_(36165853)	grp1
ampl80_NRAS.2_UserDefined_(36165854)	grp1
ampl121_FGFR2.14_UserDefined_(36165855)	grp1
ampl123_FGFR2.12_UserDefined_(36165856)	grp1
ampl125_FGFR2.7_UserDefined_(36165857)	grp1
ampl1_HRAS.3.4_UserDefined_(36165858)	grp1
ampl3_HRAS.3.4_UserDefined_(36165858)	grp1
ampl5_HRAS.3.4_UserDefined_(36165858)	grp1
ampl7_HRAS.3.4_UserDefined_(36165858)	grp1
ampl10_HRAS.2_UserDefined_(36165859)	grp1
ampl22_KRAS.4_UserDefined_(32313383)	grp1
ampl25_KRAS.3_UserDefined_(32313384)	grp1
ampl28_KRAS.2_UserDefined_(32313385)	grp1
ampl71_AKT1.3_UserDefined_(36165860)	grp1
ampl68_MAP2K1.2_UserDefined_(36165861)	grp1
ampl36_ERBB2.20_UserDefined_(36165862)	grp1
ampl30_ALK.25_UserDefined_(36165863)	grp1
ampl32_ALK.24_UserDefined_(36165864)	grp1
ampl34_ALK.23_UserDefined_(36165865)	grp1
ampl146_ERBB4.12_UserDefined_(36165866)	grp1
ampl149_ERBB4.10_UserDefined_(36165867)	grp1
ampl132_PIK3CA.10_UserDefined_(31979338)	grp1
ampl135_PIK3CA.21_UserDefined_(36342163)	grp1
ampl137_PIK3CA.21_UserDefined_(36342163)	grp1
ampl139_PIK3CA.21_UserDefined_(36342163)	grp1
ampl141_PIK3CA.21_UserDefined_(36342163)	grp1
ampl143_PIK3CA.21_UserDefined_(36342163)	grp1
ampl13_FGFR3.7_UserDefined_(36165870)	grp1
ampl16_FGFR3.9_UserDefined_(36165871)	grp1
ampl18_FGFR3.9_UserDefined_(36165871)	grp1
ampl20_FGFR3.14_UserDefined_(36165872)	grp1
ampl39_PDGFRA.12_UserDefined_(36165873)	grp1
ampl41_PDGFRA.14_UserDefined_(36165874)	grp1
ampl43_PDGFRA.18_UserDefined_(36165875)	grp1
ampl55_KIT.8_UserDefined_(36165876)	grp1
ampl57_KIT.9_UserDefined_(33985613)	grp1
ampl60_KIT.11_UserDefined_(33985614)	grp1
ampl62_KIT.13_UserDefined_(33985615)	grp1
ampl64_KIT.17_UserDefined_(33985616)	grp1
ampl66_KIT.18_UserDefined_(36165877)	grp1
ampl45_EGFR.18_UserDefined_(36165878)	grp1
ampl47_EGFR.19_UserDefined_(36165879)	grp1
ampl49_EGFR.20_UserDefined_(36165880)	grp1
ampl52_EGFR.21_UserDefined_(36165881)	grp1
ampl82_MET.2_UserDefined_(36165882)	grp1
ampl84_MET.2_UserDefined_(36165882)	grp1
ampl86_MET.2_UserDefined_(36165882)	grp1
