#Area	Non-overlapping_group
ampl950_TNFRSF14_CDS_1_Cds_16650310_UserDefined_(53190732)_UserDefined_(46402076)	grp0
ampl951_TNFRSF14_CDS_2_Cds_16649206_UserDefined_(53190733)_UserDefined_(46402077)	grp0
ampl953_TNFRSF14_CDS_3_Cds_16653467_UserDefined_(53190734)_UserDefined_(46402078)	grp0
ampl955_TNFRSF14_CDS_4_Cds_16651158_UserDefined_(53190735)_UserDefined_(46402079)	grp0
ampl957_TNFRSF14_CDS_5_Cds_16654064_UserDefined_(53190736)_UserDefined_(46402080)	grp0
ampl959_TNFRSF14_CDS_6_Cds_16650851_UserDefined_(53190737)_UserDefined_(46402081)	grp0
ampl961_TNFRSF14_CDS_7_Cds_16649447_UserDefined_(53190738)_UserDefined_(46402082)	grp0
ampl962_TNFRSF14_CDS_8_Cds_16650105_UserDefined_(53190739)_UserDefined_(46402083)	grp0
ampl366_ID3_CDS_2_+_ID3_CDS_1_UserDefined_(53190410)_UserDefined_(53391454)	grp0
ampl368_ID3_CDS_2_+_ID3_CDS_1_UserDefined_(53190410)_UserDefined_(53391454)	grp0
ampl79_CD58_3_Exon_16672864_UserDefined_(53190334)_UserDefined_(53391455)	grp0
ampl81_CD58_3_Exon_16672864_UserDefined_(53190334)_UserDefined_(53391455)	grp0
ampl76_CD58_2_UserDefined_(53190336)_UserDefined_(53391456)	grp0
ampl78_CD58_2_UserDefined_(53190336)_UserDefined_(53391456)	grp0
ampl73_CD58_1_UserDefined_(53190335)_UserDefined_(53391457)	grp0
ampl75_CD58_1_UserDefined_(53190335)_UserDefined_(53391457)	grp0
ampl783_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl785_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl787_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl789_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl791_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl793_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl795_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl797_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl799_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl801_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl803_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl805_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl807_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl809_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl811_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl813_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl815_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl817_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl819_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl821_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl823_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl825_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl827_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl829_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl831_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl833_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl835_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl837_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl839_NOTCH2_34_ThreeUtrExon_16675544_UserDefined_(53190694)_UserDefined_(53391458)	grp0
ampl1202_NOTCH2_28_+_NOTCH2_27_UserDefined_(53190693)_UserDefined_(53391459)	grp0
ampl1204_NOTCH2_28_+_NOTCH2_27_UserDefined_(53190693)_UserDefined_(53391459)	grp0
ampl1206_NOTCH2_28_+_NOTCH2_27_UserDefined_(53190693)_UserDefined_(53391459)	grp0
ampl1208_NOTCH2_28_+_NOTCH2_27_UserDefined_(53190693)_UserDefined_(53391459)	grp0
ampl779_NOTCH2_26_Exon_16676155_UserDefined_(44438686)_UserDefined_(53391460)	grp0
ampl781_NOTCH2_26_Exon_16676155_UserDefined_(44438686)_UserDefined_(53391460)	grp0
ampl1067_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
ampl1069_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
ampl1071_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
ampl1073_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
ampl1075_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
ampl1077_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
ampl1079_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
ampl1081_ITPKB_CDS_1_Cds_16694468_UserDefined_(53190421)_UserDefined_(53391461)	grp0
