sample	locus_position	method_id	key	value	type
18T029447_S4	chr4:55598140-55598290	model	status	MSS	str
18T029447_S4	chr2:47641506-47641642	model	status	MSS	str
18T029447_S4	chr14:23652277-23652420	model	status	MSS	str
18T029447_S4	chr11:125490715-125490852	model	status	MSS	str
18T029447_S4	chr11:102193451-102193586	model	status	MSS	str
18T029447_S4	chr13:31722592-31722713	model	status	MSS	str
18T029447_S8	chr4:55598140-55598290	model	status	MSS	str
18T029447_S8	chr2:47641506-47641642	model	status	MSS	str
18T029447_S8	chr14:23652277-23652420	model	status	MSS	str
18T029447_S8	chr11:125490715-125490852	model	status	MSS	str
18T029447_S8	chr11:102193451-102193586	model	status	MSS	str
18T029447_S8	chr13:31722592-31722713	model	status	MSS	str
18T029573_S6	chr4:55598140-55598290	model	status	MSS	str
18T029573_S6	chr2:47641506-47641642	model	status	MSS	str
18T029573_S6	chr14:23652277-23652420	model	status	MSS	str
18T029573_S6	chr11:125490715-125490852	model	status	MSS	str
18T029573_S6	chr11:102193451-102193586	model	status	MSS	str
18T029573_S6	chr13:31722592-31722713	model	status	MSS	str
18T029573_S9	chr4:55598140-55598290	model	status	MSS	str
18T029573_S9	chr2:47641506-47641642	model	status	MSS	str
18T029573_S9	chr14:23652277-23652420	model	status	MSS	str
18T029573_S9	chr11:125490715-125490852	model	status	MSS	str
18T029573_S9	chr11:102193451-102193586	model	status	MSS	str
18T029573_S9	chr13:31722592-31722713	model	status	MSS	str
18T029444_S2	chr4:55598140-55598290	model	status	MSS	str
18T029444_S2	chr2:47641506-47641642	model	status	MSS	str
18T029444_S2	chr14:23652277-23652420	model	status	MSS	str
18T029444_S2	chr11:125490715-125490852	model	status	MSS	str
18T029444_S2	chr11:102193451-102193586	model	status	MSS	str
18T029444_S2	chr13:31722592-31722713	model	status	MSS	str
18T029444_S7	chr4:55598140-55598290	model	status	MSS	str
18T029444_S7	chr2:47641506-47641642	model	status	MSS	str
18T029444_S7	chr14:23652277-23652420	model	status	MSS	str
18T029444_S7	chr11:125490715-125490852	model	status	MSS	str
18T029444_S7	chr11:102193451-102193586	model	status	MSS	str
18T029444_S7	chr13:31722592-31722713	model	status	MSS	str
HORIZON_S10	chr4:55598140-55598290	model	status	MSI	str
HORIZON_S10	chr2:47641506-47641642	model	status	MSI	str
HORIZON_S10	chr14:23652277-23652420	model	status	MSI	str
HORIZON_S10	chr11:125490715-125490852	model	status	MSI	str
HORIZON_S10	chr11:102193451-102193586	model	status	MSI	str
HORIZON_S10	chr13:31722592-31722713	model	status	MSI	str
HORIZON_S7	chr4:55598140-55598290	model	status	MSI	str
HORIZON_S7	chr2:47641506-47641642	model	status	MSI	str
HORIZON_S7	chr14:23652277-23652420	model	status	MSI	str
HORIZON_S7	chr11:125490715-125490852	model	status	MSI	str
HORIZON_S7	chr11:102193451-102193586	model	status	MSI	str
HORIZON_S7	chr13:31722592-31722713	model	status	MSI	str
16T044126_S13	chr4:55598140-55598290	model	status	MSS	str
16T044126_S13	chr2:47641506-47641642	model	status	MSS	str
16T044126_S13	chr14:23652277-23652420	model	status	MSS	str
16T044126_S13	chr11:125490715-125490852	model	status	MSS	str
16T044126_S13	chr11:102193451-102193586	model	status	MSS	str
16T044126_S13	chr13:31722592-31722713	model	status	MSS	str
16T044126_S16	chr4:55598140-55598290	model	status	MSS	str
16T044126_S16	chr2:47641506-47641642	model	status	MSS	str
16T044126_S16	chr14:23652277-23652420	model	status	MSS	str
16T044126_S16	chr11:125490715-125490852	model	status	MSS	str
16T044126_S16	chr11:102193451-102193586	model	status	MSS	str
16T044126_S16	chr13:31722592-31722713	model	status	MSS	str
17T001264_S19	chr4:55598140-55598290	model	status	MSS	str
17T001264_S19	chr2:47641506-47641642	model	status	MSS	str
17T001264_S19	chr14:23652277-23652420	model	status	MSS	str
17T001264_S19	chr11:125490715-125490852	model	status	MSS	str
17T001264_S19	chr11:102193451-102193586	model	status	MSS	str
17T001264_S19	chr13:31722592-31722713	model	status	MSS	str
17T001264_S22	chr4:55598140-55598290	model	status	MSS	str
17T001264_S22	chr2:47641506-47641642	model	status	MSS	str
17T001264_S22	chr14:23652277-23652420	model	status	MSS	str
17T001264_S22	chr11:125490715-125490852	model	status	MSS	str
17T001264_S22	chr11:102193451-102193586	model	status	MSS	str
