#Gene	Reference
B2M	NM_004048.2
BCL2	NM_000633.2
BCL6	NM_001706.4
BIRC3	NM_001165.4
BRAF	NM_004333.4
BTK	NM_000061.2
CARD11	NM_032415.5
CD58	NM_001779.2
CD79A	NM_001783.3
CD79B	NM_001039933.2
CDKN2A	NM_000077.4
CDKN2A	NM_001195132.1
CDKN2B	NM_004936.3
CIITA	NM_000246.3
CREBBP	NM_004380.2
DUSP2	NM_004418.3
EP300	NM_001429.3
EZH2	NM_004456.4
FOXO1	NM_002015.3
GNA13	NM_006572.4
HIST1H1C	NM_005319.3
ID3	NM_002167.4
IGLL5	NM_001178126.1
IRF4	NM_001195286.1
ITPKB	NM_002221.3
KMT2A	NM_001197104.1
KMT2D	NM_003482.3
MEF2B	NM_001145785.1
MFHAS1	NM_004225.2
MYC	NM_002467.4
MYD88	NM_001172567.1
NOTCH1	NM_017617.4
NOTCH2	NM_024408.3
PIM1	NM_001243186.1
PLCG2	NM_002661.4
PRDM1	NM_001198.3
SOCS1	NM_003745.1
STAT6	NM_003153.4
TCF3	NM_001136139.3
TNFAIP3	NM_006290.3
TNFRSF14	NM_003820.2
TP53	NM_000546.5
TRAF3	NM_145725.2
XPO1	NM_003400.3
