#Area	Non-overlapping_group
TNFRSF14_ex1_2488069_-_ampl0	grp0
TNFRSF14_ex2_2489136_-_ampl1	grp0
TNFRSF14_ex3_2489753_-_ampl3	grp0
TNFRSF14_ex4_2491227_-_ampl5	grp0
TNFRSF14_ex5_2491966_-_ampl7	grp0
TNFRSF14_ex6_2493079_-_ampl9	grp0
TNFRSF14_ex7_2494267_-_ampl11	grp0
TNFRSF14_ex8_2494556_-_ampl12	grp0
ID3_ex2_23885425_-_ampl14	grp0
ID3_ex1_23885663_-_ampl16	grp0
CD58_ex3_117078550_-_ampl18	grp0
CD58_ex3_117078788_-_ampl20	grp0
CD58_ex2_117086897_-_ampl21	grp0
CD58_ex2_117087127_-_ampl23	grp0
CD58_ex1_117113411_-_ampl24	grp0
CD58_ex1_117113621_-_ampl26	grp0
NOTCH2_ex34_120454169_-_ampl27	grp0
NOTCH2_ex34_120454359_-_ampl29	grp0
NOTCH2_ex34_120454545_-_ampl31	grp0
NOTCH2_ex34_120454733_-_ampl33	grp0
NOTCH2_ex34_120454987_+_ampl36	grp0
NOTCH2_ex34_120455243_-_ampl39	grp0
NOTCH2_ex34_120455485_+_ampl42	grp0
NOTCH2_ex34_120455661_+_ampl44	grp0
NOTCH2_ex34_120455841_+_ampl46	grp0
NOTCH2_ex34_120456101_-_ampl49	grp0
NOTCH2_ex34_120456353_+_ampl52	grp0
NOTCH2_ex34_120456597_-_ampl55	grp0
NOTCH2_ex34_120456839_+_ampl58	grp0
NOTCH2_ex34_120457097_-_ampl61	grp0
NOTCH2_ex34_120457349_+_ampl64	grp0
NOTCH2_ex34_120457605_-_ampl67	grp0
NOTCH2_ex34_120457849_+_ampl70	grp0
NOTCH2_ex34_120458035_+_ampl72	grp0
NOTCH2_ex34_120458217_+_ampl74	grp0
NOTCH2_ex34_120458417_+_ampl76	grp0
NOTCH2_ex34_120458617_+_ampl78	grp0
NOTCH2_ex34_120458813_+_ampl80	grp0
NOTCH2_ex34_120459061_+_ampl82	grp0
NOTCH2_ex34_120459295_+_ampl84	grp0
NOTCH2_ex28_120464816_+_ampl85	grp0
NOTCH2_ex28_120464990_+_ampl87	grp0
NOTCH2_ex27_120465244_-_ampl90	grp0
NOTCH2_ex26_120466227_-_ampl92	grp0
NOTCH2_ex26_120466441_-_ampl94	grp0
ITPKB_ex2_226923189_+_ampl96	grp0
ITPKB_ex2_226923381_+_ampl98	grp0
ITPKB_ex2_226923645_-_ampl101	grp0
ITPKB_ex2_226923837_-_ampl103	grp0
ITPKB_ex2_226924013_-_ampl105	grp0
ITPKB_ex2_226924205_-_ampl107	grp0
ITPKB_ex2_226924393_-_ampl109	grp0
ITPKB_ex2_226924591_-_ampl111	grp0
ITPKB_ex2_226924827_-_ampl113	grp0
ITPKB_ex2_226925087_-_ampl115	grp0
BIRC3_ex6_102201691_-_ampl404	grp0
BIRC3_ex6_102201913_-_ampl406	grp0
BIRC3_ex7_102206660_-_ampl407	grp0
BIRC3_ex7_102206884_-_ampl409	grp0
BIRC3_ex8_102207370_+_ampl410	grp0
BIRC3_ex9_102207626_-_ampl412	grp0
BIRC3_ex9_102207888_+_ampl414	grp0
BIRC3_ex9_102208082_+_ampl415	grp0
BIRC3_ex9_102208268_+_ampl417	grp0
BIRC3_ex9_102208446_+_ampl419	grp0
BIRC3_ex9_102208616_+_ampl421	grp0
BIRC3_ex9_102208850_-_ampl424	grp0
BIRC3_ex9_102209028_-_ampl426	grp0
BIRC3_ex9_102209202_-_ampl428	grp0
BIRC3_ex9_102209374_-_ampl430	grp0
BIRC3_ex9_102209602_+_ampl433	grp0
BIRC3_ex9_102209784_+_ampl435	grp0
BIRC3_ex9_102209998_+_ampl437	grp0
KMT2A_ex1_118307117_+_ampl438	grp0
KMT2A_ex1_118307327_+_ampl439	grp0
KMT2A_ex1_118307549_+_ampl441	grp0
KMT2A_ex2_118339445_-_ampl442	grp0
KMT2A_ex3_118342322_+_ampl443	grp0
KMT2A_ex3_118342566_-_ampl446	grp0
KMT2A_ex3_118342810_+_ampl449	grp0
KMT2A_ex3_118343066_-_ampl452	grp0
KMT2A_ex3_118343302_+_ampl455	grp0
KMT2A_ex3_118343550_-_ampl458	grp0
KMT2A_ex3_118343728_-_ampl460	grp0
KMT2A_ex3_118343964_+_ampl463	grp0
KMT2A_ex3_118344136_+_ampl465	grp0
KMT2A_ex3_118344378_-_ampl468	grp0
KMT2A_ex3_118344566_-_ampl470	grp0
KMT2A_ex3_118344756_-_ampl472	grp0
KMT2A_ex3_118344994_-_ampl474	grp0
KMT2A_ex4_118347487_-_ampl475	grp0
KMT2A_ex5_118348649_-_ampl477	grp0
KMT2A_ex5_118348863_-_ampl479	grp0
KMT2A_ex6_118350854_-_ampl480	grp0
KMT2A_ex7_118352393_-_ampl481	grp0
KMT2A_ex7_118352595_-_ampl483	grp0
KMT2A_ex8_118353104_-_ampl485	grp0
KMT2A_ex9_118354859_-_ampl486	grp0
KMT2A_ex10_118355540_-_ampl488	grp0
KMT2A_ex11_118359294_-_ampl490	grp0
KMT2A_ex12_118360464_-_ampl492	grp0
KMT2A_ex13_118360715_-_ampl494	grp0
KMT2A_ex14_118361878_-_ampl496	grp0
KMT2A_ex15_118362424_-_ampl498	grp0
KMT2A_ex16_118363735_-_ampl500	grp0
KMT2A_ex17_118364956_-_ampl502	grp0
KMT2A_ex18_118365352_-_ampl504	grp0
KMT2A_ex19_118366378_-_ampl506	grp0
KMT2A_ex20_118366943_-_ampl508	grp0
KMT2A_ex21_118368600_-_ampl509	grp0
KMT2A_ex22_118369052_-_ampl511	grp0
KMT2A_ex23_118369985_-_ampl513	grp0
KMT2A_ex24_118370515_-_ampl515	grp0
KMT2A_ex25_118371667_-_ampl516	grp0
KMT2A_ex26_118372350_-_ampl518	grp0
KMT2A_ex27_118373028_-_ampl520	grp0
KMT2A_ex27_118373270_+_ampl523	grp0
KMT2A_ex27_118373496_-_ampl526	grp0
KMT2A_ex27_118373672_-_ampl528	grp0
KMT2A_ex27_118373908_+_ampl531	grp0
KMT2A_ex27_118374136_-_ampl534	grp0
KMT2A_ex27_118374318_-_ampl536	grp0
KMT2A_ex27_118374552_+_ampl539	grp0
KMT2A_ex27_118374790_-_ampl542	grp0
KMT2A_ex27_118375018_+_ampl545	grp0
KMT2A_ex27_118375262_-_ampl548	grp0
KMT2A_ex27_118375500_+_ampl551	grp0
KMT2A_ex27_118375670_+_ampl553	grp0
KMT2A_ex27_118375928_-_ampl556	grp0
KMT2A_ex27_118376100_-_ampl558	grp0
KMT2A_ex27_118376282_-_ampl560	grp0
KMT2A_ex27_118376540_+_ampl563	grp0
KMT2A_ex27_118376728_+_ampl565	grp0
KMT2A_ex27_118376940_+_ampl567	grp0
KMT2A_ex27_118377146_+_ampl569	grp0
KMT2A_ex28_118378211_-_ampl571	grp0
KMT2A_ex29_118379796_-_ampl572	grp0
KMT2A_ex30_118380630_-_ampl573	grp0
KMT2A_ex31_118382633_-_ampl575	grp0
KMT2A_ex32_118390300_-_ampl576	grp0
KMT2A_ex33_118390526_-_ampl578	grp0
KMT2A_ex34_118391400_-_ampl580	grp0
KMT2A_ex35_118391970_-_ampl582	grp0
KMT2A_ex36_118392579_-_ampl584	grp0
KMT2A_ex36_118392783_-_ampl586	grp0
KMT2D_ex54_49415521_+_ampl587	grp0
KMT2D_ex53_49415753_-_ampl590	grp0
KMT2D_ex52_49415957_-_ampl592	grp0
KMT2D_ex51_49416340_-_ampl594	grp0
KMT2D_ex51_49416546_-_ampl596	grp0
KMT2D_ex50_49418330_-_ampl597	grp0
KMT2D_ex49_49418578_-_ampl599	grp0
KMT2D_ex48_49419842_-_ampl601	grp0
KMT2D_ex48_49420030_-_ampl603	grp0
KMT2D_ex48_49420226_-_ampl605	grp0
KMT2D_ex48_49420420_-_ampl607	grp0
KMT2D_ex48_49420614_-_ampl609	grp0
KMT2D_ex48_49420794_-_ampl611	grp0
KMT2D_ex48_49421034_-_ampl613	grp0
KMT2D_ex47_49421555_-_ampl614	grp0
KMT2D_ex46_49421791_-_ampl616	grp0
KMT2D_ex45_49422484_-_ampl617	grp0
KMT2D_ex44_49422750_+_ampl620	grp0
KMT2D_ex44_49422928_+_ampl622	grp0
KMT2D_ex43_49423116_+_ampl624	grp0
KMT2D_ex42_49424024_-_ampl626	grp0
KMT2D_ex42_49424200_-_ampl628	grp0
KMT2D_ex41_49424370_-_ampl630	grp0
KMT2D_ex40-ex41_49424540_-_ampl632	grp0
