#Area	Non-overlapping_group
JAK1_ex24_65301042_+_ampl0	grp0
JAK1_ex23_65301746_+_ampl1	grp0
JAK1_ex22_65303580_+_ampl3	grp0
JAK1_ex21_65304109_+_ampl5	grp0
JAK1_ex20_65305249_+_ampl7	grp0
CD58_ex3_117078552_+_ampl9	grp0
CD58_ex3_117078798_+_ampl11	grp0
IDH2_ex4_90631790_+_ampl235	grp0
STAT5B_ex18_40354329_+_ampl237	grp0
STAT5B_ex17_40354742_+_ampl238	grp0
STAT5B_ex16_40359535_+_ampl239	grp0
STAT5B_ex15_40362156_+_ampl241	grp0
STAT5B_ex14_40362392_+_ampl243	grp0
STAT3_ex21_40474267_+_ampl244	grp0
STAT3_ex20_40474989_+_ampl246	grp0
DNMT3A_ex23_25455707_-_ampl12	grp0
DNMT3A_ex23_25455933_-_ampl14	grp0
DNMT3A_ex23_25456133_-_ampl16	grp0
DNMT3A_ex23_25456355_-_ampl18	grp0
DNMT3A_ex23_25456561_-_ampl20	grp0
DNMT3A_ex23_25456803_-_ampl21	grp0
DNMT3A_ex23_25457067_-_ampl23	grp0
DNMT3A_ex22_25458547_+_ampl25	grp0
DNMT3A_ex21_25459776_+_ampl26	grp0
DNMT3A_ex20_25461950_+_ampl27	grp0
DNMT3A_ex19_25463140_+_ampl28	grp0
DNMT3A_ex18_25463396_+_ampl30	grp0
DNMT3A_ex17_25464398_+_ampl32	grp0
DNMT3A_ex16_25466738_+_ampl34	grp0
DNMT3A_ex15_25466994_+_ampl36	grp0
DNMT3A_ex14_25467378_+_ampl38	grp0
DNMT3A_ex13_25468089_+_ampl40	grp0
DNMT3A_ex11-ex12_25468854_+_ampl41	grp0
DNMT3A_ex11_25469114_+_ampl43	grp0
DNMT3A_ex10_25469456_+_ampl44	grp0
DNMT3A_ex9_25469887_+_ampl46	grp0
DNMT3A_ex8_25470427_+_ampl47	grp0
DNMT3A_ex7_25470877_+_ampl49	grp0
DNMT3A_ex6_25497775_+_ampl51	grp0
DNMT3A_ex5_25498336_+_ampl53	grp0
DNMT3A_ex4_25505279_+_ampl54	grp0
DNMT3A_ex4_25505543_+_ampl56	grp0
DNMT3A_ex3_25522975_+_ampl57	grp0
DNMT3A_ex2_25536653_+_ampl58	grp0
DNMT3A_ex2_25536901_+_ampl60	grp0
DNMT3A_ex1_25564584_+_ampl61	grp0
CD28_ex2_204591255_+_ampl63	grp0
CD28_ex2_204591519_+_ampl65	grp0
CD28_ex3_204594334_+_ampl67	grp0
CD28_ex4_204599388_-_ampl69	grp0
CD28_ex4_204599598_-_ampl71	grp0
CD28_ex4_204599886_+_ampl74	grp0
CD28_ex4_204600088_+_ampl76	grp0
CD28_ex4_204600680_+_ampl79	grp0
CD28_ex4_204600882_+_ampl81	grp0
CD28_ex4_204601144_-_ampl84	grp0
CD28_ex4_204601344_-_ampl86	grp0
CD28_ex4_204601616_+_ampl89	grp0
CD28_ex4_204601812_+_ampl91	grp0
CD28_ex4_204602026_+_ampl93	grp0
CD28_ex4_204602228_+_ampl95	grp0
CD28_ex4_204602500_-_ampl97	grp0
CD28_ex4_204602798_+_ampl100	grp0
CD28_ex4_204603022_+_ampl102	grp0
CD28_ex4_204603222_+_ampl104	grp0
CD28_ex4_204603448_+_ampl106	grp0
RHOA_ex5_49396448_+_ampl108	grp0
RHOA_ex5_49396644_+_ampl110	grp0
RHOA_ex5_49396848_+_ampl112	grp0
RHOA_ex5_49397042_+_ampl114	grp0
RHOA_ex5_49397278_+_ampl116	grp0
RHOA_ex5_49397472_+_ampl118	grp0
RHOA_ex5_49397710_+_ampl120	grp0
RHOA_ex4_49399894_+_ampl121	grp0
RHOA_ex3_49405822_+_ampl123	grp0
RHOA_ex2_49412832_+_ampl125	grp0
RHOA_ex1_49449220_+_ampl127	grp0
RHOA_ex1_49449498_+_ampl129	grp0
