#Area	Non-overlapping_group
NRAS_ex4_115252160_+_ampl0	grp0
NRAS_ex3_115256391_+_ampl3	grp0
NRAS_ex3_115256555_+_ampl5	grp0
NRAS_ex2_115258645_+_ampl6	grp0
DDR2_ex17_162748360_+_ampl8	grp0
H3F3A_ex2_226252108_+_ampl9	grp0
PTEN_ex1_89624189_+_ampl138	grp0
PTEN_ex2_89653738_+_ampl140	grp0
PTEN_ex3_89685236_+_ampl142	grp0
PTEN_ex4_89690755_+_ampl143	grp0
PTEN_ex5_89692738_+_ampl144	grp0
PTEN_ex5_89692944_-_ampl147	grp0
PTEN_ex6_89711769_+_ampl148	grp0
PTEN_ex6_89711933_+_ampl150	grp0
PTEN_ex7_89717568_+_ampl151	grp0
PTEN_ex7_89717746_+_ampl153	grp0
PTEN_ex8_89720669_+_ampl154	grp0
PTEN_ex8_89720817_+_ampl156	grp0
PTEN_ex9_89725012_+_ampl157	grp0
FGFR2_ex14_123247477_+_ampl160	grp0
FGFR2_ex12_123257981_+_ampl162	grp0
FGFR2_ex7_123279463_+_ampl164	grp0
FGFR2_ex7_123279637_+_ampl166	grp0
HRAS_ex4_533429_+_ampl167	grp0
HRAS_ex3_533740_+_ampl169	grp0
HRAS_ex2_534182_+_ampl171	grp0
MSI_NR27_102193452_+_ampl173	grp0
MSI_NR22_125490716_-_ampl174	grp0
KRAS_ex4_25378516_+_ampl175	grp0
KRAS_ex4_25378662_+_ampl177	grp0
KRAS_ex3_25380088_+_ampl178	grp0
KRAS_ex2_25398174_+_ampl181	grp0
POLE_ex14_133249780_+_ampl183	grp0
POLE_ex13_133250137_+_ampl184	grp0
POLE_ex12_133251958_+_ampl186	grp0
POLE_ex11_133252291_+_ampl188	grp0
POLE_ex10_133252650_+_ampl190	grp0
POLE_ex9_133253108_+_ampl192	grp0
MSI_HT17_31722593_+_ampl194	grp0
MSI_NR21_23652278_-_ampl195	grp0
AKT1_ex3_105246401_+_ampl196	grp0
MAP2K1_ex2_66727341_+_ampl198	grp0
MAP2K1_ex2_66727521_+_ampl200	grp0
IDH2_ex4_90631813_+_ampl201	grp0
ERBB2_ex20_37880953_+_ampl203	grp0
ERBB2_ex20_37881125_+_ampl205	grp0
H3F3B_ex2_73775115_+_ampl206	grp0
SMAD4_ex2_48573492_+_ampl207	grp0
SMAD4_ex3_48575024_+_ampl209	grp0
SMAD4_ex3_48575200_+_ampl211	grp0
SMAD4_ex9_48591763_+_ampl212	grp0
SMAD4_ex9_48591933_+_ampl214	grp0
SMAD4_ex10_48593309_+_ampl215	grp0
SMAD4_ex10_48593483_+_ampl217	grp0
SMAD4_ex11_48602938_+_ampl218	grp0
SMAD4_ex11_48603098_+_ampl220	grp0
SMAD4_ex12_48604596_+_ampl221	grp0
SMAD4_ex12_48604778_+_ampl223	grp0
STK11_ex1_1206885_+_ampl224	grp0
STK11_ex1_1207043_+_ampl226	grp0
STK11_ex2_1218392_+_ampl228	grp0
STK11_ex3_1219297_+_ampl230	grp0
STK11_ex4_1220318_-_ampl232	grp0
STK11_ex5_1220548_+_ampl235	grp0
STK11_ex6_1221184_+_ampl237	grp0
STK11_ex7_1221920_+_ampl239	grp0
STK11_ex8_1222960_+_ampl240	grp0
STK11_ex8_1223140_+_ampl242	grp0
STK11_ex9_1226429_+_ampl243	grp0
STK11_ex9_1226589_+_ampl245	grp0
GNA11_ex4_3114988_+_ampl246	grp0
GNA11_ex5_3118917_+_ampl247	grp0
ALK_ex25_29432624_+_ampl10	grp0
ALK_ex24_29436824_+_ampl12	grp0
ALK_ex23_29443548_+_ampl14	grp0
ALK_ex22_29445156_-_ampl16	grp0
ALK_ex21_29445370_+_ampl19	grp0
ALK_ex20_29446178_+_ampl20	grp0
ALK_ex20_29446330_+_ampl22	grp0
MSI_BAT26_47641507_-_ampl23	grp0
MSI_NR24_95849302_-_ampl24	grp0
IDH1_ex4_209113081_+_ampl25	grp0
ERBB4_ex12_212566622_+_ampl26	grp0
ERBB4_ex12_212566794_+_ampl28	grp0
ERBB4_ex10_212570013_+_ampl29	grp0
GNAS_ex8_57484395_+_ampl248	grp0
CTNNB1_ex3_41266084_+_ampl31	grp0
PIK3Ca_ex10_178935912_+_ampl32	grp0
PIK3Ca_ex10_178936088_+_ampl34	grp0
PIK3Ca_ex21_178951850_+_ampl35	grp0
PIK3Ca_ex21_178952030_+_ampl37	grp0
FGFR3_ex7_1803534_+_ampl39	grp0
FGFR3_ex7_1803702_+_ampl41	grp0
FGFR3_ex9_1806033_+_ampl42	grp0
FGFR3_ex9_1806207_+_ampl44	grp0
FGFR3_ex14_1807746_+_ampl45	grp0
PDGFRA_ex12_55140978_+_ampl47	grp0
PDGFRA_ex14_55144031_+_ampl49	grp0
PDGFRA_ex18_55151978_+_ampl51	grp0
KIT_ex8_55589720_+_ampl53	grp0
KIT_ex9_55591995_+_ampl55	grp0
KIT_ex9_55592139_+_ampl57	grp0
KIT_ex11_55593510_+_ampl58	grp0
KIT_ex13_55594147_+_ampl61	grp0
MSI_BAT25_55598141_-_ampl63	grp0
KIT_ex17_55599204_+_ampl64	grp0
KIT_ex18_55602630_+_ampl66	grp0
TERT_promoter_1295195_+_ampl68	grp0
HIST1H3B_ex1_26032177_+_ampl69	grp0
RAC1_ex2_6426863_+_ampl70	grp0
EGFR_ex18_55241586_+_ampl71	grp0
